"Date","Price","Open","High","Low","Change %"
"Oct 31, 2000","79.410","79.360","79.410","79.360","-0.05%"
"Oct 30, 2000","79.450","79.400","79.450","79.400","0.19%"
"Oct 27, 2000","79.300","79.250","79.300","79.250","-0.06%"
"Oct 26, 2000","79.350","79.300","79.350","79.300","0.25%"
"Oct 25, 2000","79.150","79.100","79.150","79.100","-0.09%"
"Oct 24, 2000","79.225","79.200","79.225","79.200","0.00%"
"Oct 23, 2000","79.225","79.200","79.225","79.200","-0.09%"
"Oct 20, 2000","79.300","79.250","79.300","79.250","0.09%"
"Oct 19, 2000","79.225","79.200","79.225","79.200","0.00%"
"Oct 18, 2000","79.225","79.200","79.225","79.200","-0.09%"
"Oct 17, 2000","79.300","79.250","79.300","79.250","0.00%"
"Oct 16, 2000","79.300","79.250","79.300","79.250","0.00%"
"Oct 13, 2000","79.300","79.250","79.300","79.250","0.13%"
"Oct 12, 2000","79.200","79.150","79.200","79.150","0.06%"
"Oct 11, 2000","79.150","79.100","79.150","79.100","0.13%"
"Oct 10, 2000","79.050","79.000","79.050","79.000","-0.58%"
"Oct 09, 2000","79.510","79.460","79.510","79.460","0.45%"
"Oct 06, 2000","79.150","79.100","79.150","79.100","0.00%"
"Oct 05, 2000","79.150","79.100","79.150","79.100","-0.31%"
"Oct 04, 2000","79.400","79.350","79.400","79.350","0.22%"
"Oct 03, 2000","79.225","79.200","79.225","79.200","0.09%"
"Oct 02, 2000","79.150","79.100","79.150","79.100","0.00%"
"Sep 29, 2000","79.150","79.100","79.150","79.100","0.00%"
"Sep 28, 2000","79.150","79.100","79.150","79.100","0.00%"
"Sep 27, 2000","79.150","79.100","79.150","79.100","-0.14%"
"Sep 26, 2000","79.260","79.220","79.260","79.220","0.14%"
"Sep 25, 2000","79.150","79.100","79.150","79.100","-0.19%"
"Sep 22, 2000","79.300","79.250","79.300","79.250","-0.08%"
"Sep 21, 2000","79.365","79.330","79.365","79.330","0.59%"
"Sep 20, 2000","78.900","78.850","78.900","78.850","0.25%"
"Sep 19, 2000","78.700","78.650","78.700","78.650","0.06%"
"Sep 18, 2000","78.650","78.600","78.650","78.600","0.25%"
"Sep 15, 2000","78.450","78.400","78.450","78.400","0.13%"
"Sep 14, 2000","78.350","78.300","78.350","78.300","0.06%"
"Sep 13, 2000","78.300","78.250","78.300","78.250","-0.05%"
"Sep 12, 2000","78.340","78.300","78.340","78.300","-0.02%"
"Sep 11, 2000","78.355","78.330","78.355","78.330","0.20%"
"Sep 08, 2000","78.200","78.150","78.200","78.150","0.06%"
"Sep 07, 2000","78.150","78.100","78.150","78.100","-0.06%"
"Sep 06, 2000","78.200","78.150","78.200","78.150","0.06%"
"Sep 05, 2000","78.150","78.100","78.150","78.100","-0.15%"
"Sep 04, 2000","78.265","78.230","78.265","78.230","-0.24%"
"Sep 01, 2000","78.450","78.400","78.450","78.400","0.51%"
"Aug 31, 2000","78.050","78.000","78.050","78.000","0.26%"
"Aug 30, 2000","77.850","77.800","77.850","77.800","-0.20%"
"Aug 29, 2000","78.005","78.000","78.005","78.000","0.00%"
"Aug 28, 2000","78.005","78.000","78.005","78.000","0.00%"
"Aug 25, 2000","78.005","78.000","78.005","78.000","-0.06%"
"Aug 24, 2000","78.050","78.000","78.050","78.000","0.02%"
"Aug 23, 2000","78.035","78.010","78.035","78.010","-0.28%"
"Aug 22, 2000","78.255","78.230","78.255","78.230","-0.03%"
"Aug 21, 2000","78.275","78.250","78.275","78.250","0.13%"
"Aug 18, 2000","78.175","78.150","78.175","78.150","-0.19%"
"Aug 17, 2000","78.320","78.300","78.320","78.300","-0.01%"
"Aug 16, 2000","78.325","78.300","78.325","78.300","-0.11%"
"Aug 15, 2000","78.410","78.370","78.410","78.370","0.08%"
"Aug 14, 2000","78.350","78.300","78.350","78.300","0.00%"
"Aug 11, 2000","78.350","78.300","78.350","78.300","0.00%"
"Aug 10, 2000","78.350","78.300","78.350","78.300","-0.14%"
"Aug 09, 2000","78.460","78.430","78.460","78.430","-0.05%"
"Aug 08, 2000","78.500","78.470","78.500","78.470","0.11%"
"Aug 07, 2000","78.410","78.360","78.410","78.360","0.00%"
"Aug 04, 2000","78.410","78.360","78.410","78.360","0.00%"
"Aug 03, 2000","78.410","78.360","78.410","78.360","0.01%"
"Aug 02, 2000","78.405","78.380","78.405","78.380","0.01%"
"Aug 01, 2000","78.400","78.350","78.400","78.350","0.06%"
"Jul 31, 2000","78.350","78.300","78.350","78.300","0.00%"
"Jul 28, 2000","78.350","78.300","78.350","78.300","0.00%"
"Jul 27, 2000","78.350","78.300","78.350","78.300","0.00%"
"Jul 26, 2000","78.350","78.300","78.350","78.300","-0.26%"
"Jul 25, 2000","78.555","78.520","78.555","78.520","0.45%"
"Jul 24, 2000","78.200","78.150","78.200","78.150","0.00%"
"Jul 21, 2000","78.200","78.150","78.200","78.150","-0.36%"
"Jul 20, 2000","78.485","78.450","78.485","78.450","0.01%"
"Jul 19, 2000","78.475","78.450","78.475","78.450","-0.10%"
"Jul 18, 2000","78.550","78.520","78.550","78.520","-0.21%"
"Jul 17, 2000","78.715","78.680","78.715","78.680","-0.36%"
"Jul 14, 2000","79.000","78.700","79.000","78.700","0.06%"
"Jul 13, 2000","78.950","78.700","78.950","78.700","-0.09%"
"Jul 12, 2000","79.025","78.750","79.025","78.750","0.06%"
"Jul 11, 2000","78.975","78.700","78.975","78.700","-0.06%"
"Jul 10, 2000","79.025","78.700","79.025","78.700","-0.06%"
"Jul 07, 2000","79.075","78.800","79.075","78.800","0.00%"
"Jul 06, 2000","79.075","78.800","79.075","78.800","-0.03%"
"Jul 05, 2000","79.100","78.850","79.100","78.850","0.00%"
"Jul 04, 2000","79.100","79.080","79.100","79.080","0.19%"
"Jul 03, 2000","78.950","78.650","78.950","78.650","0.06%"
"Jun 30, 2000","78.900","78.600","78.900","78.600","0.00%"
"Jun 29, 2000","78.900","78.600","78.900","78.600","0.25%"
"Jun 28, 2000","78.700","78.400","78.700","78.400","-0.06%"
"Jun 27, 2000","78.750","78.500","78.750","78.500","0.19%"
"Jun 26, 2000","78.600","78.300","78.600","78.300","0.00%"
"Jun 23, 2000","78.600","78.300","78.600","78.300","0.06%"
"Jun 22, 2000","78.550","78.200","78.550","78.200","0.26%"
"Jun 21, 2000","78.350","78.000","78.350","78.000","0.51%"
"Jun 20, 2000","77.950","77.650","77.950","77.650","3.97%"
"Jun 19, 2000","74.975","74.750","74.975","74.750","0.03%"
"Jun 16, 2000","74.950","74.700","74.950","74.700","-0.07%"
"Jun 15, 2000","75.000","74.800","75.000","74.800","-0.13%"
"Jun 14, 2000","75.100","74.850","75.100","74.850","0.10%"
"Jun 13, 2000","75.025","74.800","75.025","74.800","0.03%"
"Jun 12, 2000","75.000","74.750","75.000","74.750","0.03%"
"Jun 09, 2000","74.975","74.700","74.975","74.700","-0.03%"
"Jun 08, 2000","75.000","74.750","75.000","74.750","0.03%"
"Jun 07, 2000","74.975","74.700","74.975","74.700","0.07%"
"Jun 06, 2000","74.925","74.600","74.925","74.600","0.03%"
"Jun 05, 2000","74.900","74.550","74.900","74.550","0.00%"
"Jun 02, 2000","74.900","74.600","74.900","74.600","0.07%"
"Jun 01, 2000","74.850","74.400","74.850","74.400","0.15%"
"May 31, 2000","74.735","74.700","74.735","74.700","-0.32%"
"May 30, 2000","74.975","74.550","74.975","74.550","0.42%"
"May 29, 2000","74.660","74.630","74.660","74.630","-0.45%"
"May 26, 2000","75.000","74.500","75.000","74.500","0.00%"
"May 25, 2000","75.000","74.500","75.000","74.500","0.40%"
"May 24, 2000","74.700","74.300","74.700","74.300","0.00%"
"May 23, 2000","74.700","74.300","74.700","74.300","0.00%"
"May 22, 2000","74.700","74.300","74.700","74.300","-0.27%"
"May 19, 2000","74.900","74.650","74.900","74.650","0.33%"
"May 18, 2000","74.650","74.200","74.650","74.200","0.00%"
"May 17, 2000","74.650","74.200","74.650","74.200","0.27%"
"May 16, 2000","74.450","74.000","74.450","74.000","0.00%"
"May 15, 2000","74.450","74.000","74.450","74.000","0.20%"
"May 12, 2000","74.300","74.000","74.300","74.000","0.07%"
"May 11, 2000","74.250","73.950","74.250","73.950","0.00%"
"May 10, 2000","74.250","73.950","74.250","73.950","0.03%"
"May 09, 2000","74.225","73.950","74.225","73.950","0.13%"
"May 08, 2000","74.125","73.850","74.125","73.850","0.10%"
"May 05, 2000","74.050","73.750","74.050","73.750","0.00%"
"May 04, 2000","74.050","73.750","74.050","73.750","0.03%"
"May 03, 2000","74.025","73.700","74.025","73.700","0.03%"
"May 02, 2000","74.000","73.650","74.000","73.650","0.03%"
"May 01, 2000","73.975","73.550","73.975","73.550","-0.44%"
"Apr 28, 2000","74.300","74.050","74.300","74.050","0.54%"
"Apr 27, 2000","73.900","73.750","73.900","73.750","0.10%"
"Apr 26, 2000","73.825","73.650","73.825","73.650","0.03%"
"Apr 25, 2000","73.800","73.600","73.800","73.600","-0.07%"
"Apr 24, 2000","73.850","73.500","73.850","73.500","0.14%"
"Apr 21, 2000","73.750","73.500","73.750","73.500","-0.10%"
"Apr 20, 2000","73.825","73.800","73.825","73.800","0.03%"
"Apr 19, 2000","73.800","73.350","73.800","73.350","0.00%"
"Apr 18, 2000","73.800","73.350","73.800","73.350","0.10%"
"Apr 17, 2000","73.725","73.650","73.725","73.650","-0.10%"
"Apr 14, 2000","73.800","73.550","73.800","73.550","0.17%"
"Apr 13, 2000","73.675","73.550","73.675","73.550","0.00%"
"Apr 12, 2000","73.675","73.550","73.675","73.550","-0.03%"
"Apr 11, 2000","73.700","73.600","73.700","73.600","-0.07%"
"Apr 10, 2000","73.750","73.650","73.750","73.650","-0.20%"
"Apr 07, 2000","73.900","73.650","73.900","73.650","-0.04%"
"Apr 06, 2000","73.930","73.680","73.930","73.680","0.24%"
"Apr 05, 2000","73.750","73.650","73.750","73.650","-0.07%"
"Apr 04, 2000","73.800","73.650","73.800","73.650","0.10%"
"Apr 03, 2000","73.725","73.600","73.725","73.600","-0.03%"
"Mar 31, 2000","73.750","73.650","73.750","73.650","0.03%"
"Mar 30, 2000","73.725","73.600","73.725","73.600","-0.07%"
"Mar 29, 2000","73.775","73.650","73.775","73.650","0.07%"
"Mar 28, 2000","73.725","73.600","73.725","73.600","0.03%"
"Mar 27, 2000","73.700","73.550","73.700","73.550","0.14%"
"Mar 24, 2000","73.600","73.450","73.600","73.450","0.03%"
"Mar 23, 2000","73.575","73.400","73.575","73.400","0.10%"
"Mar 22, 2000","73.500","73.300","73.500","73.300","-0.07%"
"Mar 21, 2000","73.550","73.350","73.550","73.350","-0.14%"
"Mar 20, 2000","73.650","73.400","73.650","73.400","-0.14%"
"Mar 17, 2000","73.750","73.500","73.750","73.500","0.07%"
"Mar 16, 2000","73.700","73.500","73.700","73.500","0.00%"
"Mar 15, 2000","73.700","73.500","73.700","73.500","0.07%"
"Mar 14, 2000","73.650","73.400","73.650","73.400","0.00%"
"Mar 13, 2000","73.650","73.400","73.650","73.400","0.14%"
"Mar 10, 2000","73.550","73.300","73.550","73.300","0.10%"
"Mar 09, 2000","73.475","73.300","73.475","73.300","0.03%"
"Mar 08, 2000","73.450","73.250","73.450","73.250","-0.07%"
"Mar 07, 2000","73.500","73.300","73.500","73.300","-0.34%"
"Mar 06, 2000","73.750","73.500","73.750","73.500","0.10%"
"Mar 03, 2000","73.675","73.450","73.675","73.450","0.03%"
"Mar 02, 2000","73.650","73.400","73.650","73.400","0.20%"
"Mar 01, 2000","73.500","73.250","73.500","73.250","0.03%"
"Feb 29, 2000","73.475","73.200","73.475","73.200","-0.03%"
"Feb 28, 2000","73.500","73.250","73.500","73.250","0.03%"
"Feb 25, 2000","73.475","73.200","73.475","73.200","-0.03%"
"Feb 24, 2000","73.500","73.250","73.500","73.250","0.17%"
