Date,Price,Open,High,Low,Change %
Feb-00,73.475,73.2,73.475,73.2,0.44%
Mar-00,73.75,73.65,73.75,73.65,0.37%
Apr-00,74.3,74.05,74.3,74.05,0.75%
May-00,74.735,74.7,74.735,74.7,0.59%
Jun-00,78.9,78.6,78.9,78.6,5.57%
Jul-00,78.35,78.3,78.35,78.3,-0.70%
Aug-00,78.05,78,78.05,78,-0.38%
Sep-00,79.15,79.1,79.15,79.1,1.41%
Oct-00,79.41,79.36,79.41,79.36,0.33%
Nov-00,81.45,81.4,81.45,81.4,2.57%
Dec-00,82.7,82.65,82.7,82.65,1.53%
Jan-01,89.5,89,89.5,89,8.22%
Feb-01,86.5,86,86.5,86,-3.35%
Mar-01,86.35,86.1,86.35,86.1,-0.17%
Apr-01,90.45,90.2,90.45,90.2,4.75%
May-01,91.825,91.65,91.825,91.65,1.52%
Jun-01,90.625,90.45,90.625,90.45,-1.31%
Jul-01,89.9,89.8,89.9,89.8,-0.80%
Aug-01,89.875,89.75,89.875,89.75,-0.03%
Sep-01,90.05,89.9,90.05,89.9,0.19%
Oct-01,91.75,91.6,91.75,91.6,1.89%
Nov-01,93.15,93,93.15,93,1.53%
Dec-01,93,92.85,93,92.85,-0.16%
Jan-02,93.45,93.3,93.45,93.3,0.48%
Feb-02,93.6,93.45,93.6,93.45,0.16%
Mar-02,95.6,95.45,95.6,95.45,2.14%
Apr-02,96.05,95.9,96.05,95.9,0.47%
May-02,96.15,96.15,96.41,96,0.10%
Jun-02,96.15,96.15,96.48,95.98,0.00%
Jul-02,96.08,96.08,96.43,95.85,-0.07%
Aug-02,96.2,96.2,96.49,95.85,0.12%
Sep-02,96.25,96.25,96.5,95.8,0.05%
Oct-02,96.25,96.2,96.59,96.1,0.00%
Nov-02,96.275,96.1,96.675,96.1,0.03%
Dec-02,96.6,96.58,96.88,96.25,0.34%
Jan-03,96.8,96.7,96.98,96.45,0.21%
Feb-03,96.89,96.8,96.92,96.55,0.09%
Mar-03,96.945,96.85,96.955,96.75,0.06%
Apr-03,97.13,96.92,97.14,96.75,0.19%
May-03,97.23,97.08,97.25,96.95,0.10%
Jun-03,97.155,97.22,97.325,96.9,-0.08%
Jul-03,97.14,97.1,97.2,96.95,-0.02%
Aug-03,96.83,97.05,97.14,96.55,-0.32%
Sep-03,94.36,96.78,96.89,93.87,-2.55%
Oct-03,94.76,94.53,95.07,94.2,0.42%
Nov-03,96.425,94.73,97.825,94.53,1.76%
Dec-03,96.55,96.25,97.15,95.55,0.13%
Jan-04,97.28,96.92,99,96.88,0.76%
Feb-04,98.585,97.25,99.305,97.25,1.34%
Mar-04,97.6,98.58,98.85,96.55,-1.00%
Apr-04,98.3,97.47,98.51,97.35,0.72%
May-04,99.2,98.3,99.25,98.3,0.92%
Jun-04,102.35,99.22,102.55,99,3.18%
Jul-04,103.625,102.35,103.675,102.25,1.25%
Aug-04,103.125,103.5,104.125,102.8,-0.48%
Sep-04,103.58,103.1,103.73,102.82,0.44%
Oct-04,104.15,103.5,104.15,103.45,0.55%
Nov-04,104.825,104.08,105.045,104.08,0.65%
Dec-04,104.475,104.75,105.595,104,-0.33%
Jan-05,99.05,104.4,104.55,97.7,-5.19%
Feb-05,99.5,98.95,99.6,98.95,0.45%
Mar-05,99.7,99.4,100,99,0.20%
Apr-05,99.775,99.6,99.925,99.4,0.08%
May-05,99.925,99.82,99.975,99.45,0.15%
Jun-05,100.15,99.84,100.45,99.65,0.23%
Jul-05,100.7,100.1,100.88,99.8,0.55%
Aug-05,101.25,100.6,101.3,100,0.55%
Sep-05,101.33,101.2,101.53,101,0.08%
Oct-05,101.88,101.31,101.96,101.15,0.54%
Nov-05,102,101.89,102.09,101.4,0.12%
Dec-05,102.11,101.96,102.2,101.6,0.11%
Jan-06,102.12,102.09,102.37,101.5,0.01%
Feb-06,102.58,102.05,102.78,101.5,0.45%
Mar-06,102.575,102.65,102.825,102.3,0.00%
Apr-06,102.8,102.6,102.9,102.37,0.22%
May-06,103,102.79,103.3,102.5,0.19%
Jun-06,103.97,102.96,104.08,102.94,0.94%
Jul-06,103.97,103.94,104.07,103.25,0.00%
Aug-06,102.19,103.97,104.03,102.1,-1.71%
Sep-06,103.76,102,103.85,101.95,1.54%
Oct-06,108.025,103.72,108.025,103.72,4.11%
Nov-06,108.1,107.8,109.2,106.3,0.07%
Dec-06,107.45,108.07,108.65,107.3,-0.60%
Jan-07,108.58,107.35,108.98,107.35,1.05%
Feb-07,108.79,108.5,108.9,108.42,0.19%
